epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.433,1.78829,2.45918,1.09578,0.34123,0.24617,0.1738,0.09602,1.63209,1.55942,1.06198,0.000237706,0.000237706,0.000237706
2,297.524,1.6297,1.55262,1.03862,0.31111,0.28095,0.22065,0.12434,1.52515,1.39606,1.00863,0.000460008,0.000460008,0.000460008
3,438.665,1.58873,1.42259,1.01283,0.33283,0.30009,0.23925,0.13613,1.49737,1.32827,0.99933,0.000666601,0.000666601,0.000666601
4,580.362,1.55956,1.35099,1.00166,0.36461,0.3147,0.26729,0.1516,1.49698,1.25746,1.00371,0.000643314,0.000643314,0.000643314
5,722.583,1.5343,1.29448,0.99134,0.37525,0.32318,0.27657,0.16049,1.4384,1.21116,0.9803,0.000619752,0.000619752,0.000619752
6,864.091,1.53354,1.26063,0.98758,0.40432,0.31896,0.27575,0.1587,1.44986,1.18731,0.98117,0.00059619,0.00059619,0.00059619
7,1004.74,1.50959,1.22929,0.98304,0.40332,0.34464,0.30436,0.17589,1.43509,1.16729,0.98177,0.000572628,0.000572628,0.000572628
8,1145.57,1.49854,1.2063,0.97936,0.39989,0.34785,0.30508,0.17709,1.41934,1.16837,0.97141,0.000549066,0.000549066,0.000549066
9,1279.71,1.48213,1.18013,0.97472,0.43179,0.34864,0.32072,0.18568,1.41254,1.15419,0.97127,0.000525504,0.000525504,0.000525504
10,1420.08,1.47068,1.15809,0.97081,0.43158,0.34779,0.31568,0.18502,1.41214,1.13716,0.96891,0.000501942,0.000501942,0.000501942
11,1559.91,1.46551,1.14285,0.96565,0.42517,0.35814,0.32237,0.1869,1.40643,1.1258,0.96761,0.00047838,0.00047838,0.00047838
12,1698.85,1.462,1.13546,0.96576,0.42036,0.35791,0.32338,0.18812,1.40951,1.12585,0.96777,0.000454818,0.000454818,0.000454818
13,1837.47,1.45531,1.12674,0.96335,0.45469,0.36079,0.33504,0.19643,1.38568,1.09145,0.964,0.000431256,0.000431256,0.000431256
14,1977.67,1.43947,1.10515,0.96069,0.4603,0.3777,0.3515,0.20534,1.37924,1.07849,0.95958,0.000407694,0.000407694,0.000407694
15,2116.86,1.44455,1.09947,0.9573,0.4677,0.36849,0.34611,0.20284,1.37568,1.06869,0.96077,0.000384132,0.000384132,0.000384132
16,2254.98,1.4309,1.08751,0.9568,0.45844,0.37398,0.35309,0.20668,1.36803,1.07397,0.95674,0.00036057,0.00036057,0.00036057
17,2396.88,1.42976,1.08589,0.95434,0.46448,0.37154,0.35241,0.20557,1.38819,1.07313,0.95943,0.000337008,0.000337008,0.000337008
18,2537.06,1.41667,1.06863,0.95183,0.46418,0.36619,0.34659,0.2038,1.37375,1.06902,0.95899,0.000313446,0.000313446,0.000313446
19,2676.84,1.41422,1.06216,0.95342,0.48245,0.37072,0.3557,0.2083,1.36889,1.05736,0.95627,0.000289884,0.000289884,0.000289884
20,2816,1.40699,1.05393,0.94885,0.48506,0.37294,0.35792,0.20987,1.36412,1.0572,0.95474,0.000266322,0.000266322,0.000266322
21,2938.97,1.37597,1.02987,0.95082,0.48986,0.3694,0.35183,0.20537,1.37173,1.06998,0.95695,0.00024276,0.00024276,0.00024276
22,3058.88,1.37347,1.01539,0.94915,0.4799,0.38064,0.36164,0.21256,1.3588,1.04389,0.95227,0.000219198,0.000219198,0.000219198
23,3178.56,1.36468,1.00281,0.94776,0.49307,0.38014,0.3659,0.21638,1.3601,1.03831,0.9521,0.000195636,0.000195636,0.000195636
24,3303.23,1.36436,0.99696,0.94554,0.50213,0.37924,0.37085,0.21786,1.35471,1.03189,0.95183,0.000172074,0.000172074,0.000172074
25,3427.91,1.35736,0.98926,0.94555,0.49842,0.37562,0.367,0.21619,1.35705,1.02971,0.95215,0.000148512,0.000148512,0.000148512
26,3552.94,1.34941,0.97974,0.94281,0.49461,0.38363,0.37112,0.21795,1.35244,1.02908,0.95055,0.00012495,0.00012495,0.00012495
27,3678.09,1.34351,0.96979,0.94201,0.49815,0.39092,0.37661,0.22162,1.34723,1.0196,0.94881,0.000101388,0.000101388,0.000101388
28,3798.76,1.33579,0.96118,0.94052,0.50985,0.38047,0.37311,0.21981,1.34784,1.02223,0.94978,7.7826e-05,7.7826e-05,7.7826e-05
29,3918.35,1.334,0.95773,0.93721,0.4929,0.38674,0.3756,0.22185,1.34504,1.01509,0.94852,5.4264e-05,5.4264e-05,5.4264e-05
30,4037.82,1.32603,0.94858,0.93566,0.49509,0.38905,0.37839,0.22359,1.34491,1.0128,0.94864,3.0702e-05,3.0702e-05,3.0702e-05
