time,x,y,vx,vy,state
0.0,0.5,0.0,0.0,0.0,ACQUIRE
0.033,0.4835,0.0,-0.5002,-0.0,ALIGN
0.066,0.4684,0.0,-0.4588,-0.0,ALIGN
0.099,0.4541,0.0,-0.4334,-0.0,ALIGN
0.132,0.4403,0.0,-0.4153,-0.0,ALIGN
0.165,0.4271,0.0,-0.4007,-0.0,ALIGN
0.198,0.4143,0.0,-0.3878,-0.0,ALIGN
0.231,0.4019,0.0,-0.3759,-0.0,ALIGN
0.264,0.3899,0.0,-0.3646,-0.0,ALIGN
0.297,0.3782,0.0,-0.3537,-0.0,ALIGN
0.33,0.3669,0.0,-0.3432,-0.0,ALIGN
0.363,0.3559,0.0,-0.3331,-0.0,ALIGN
0.396,0.3452,0.0,-0.3232,-0.0,ALIGN
0.429,0.3349,0.0,-0.3137,-0.0,ALIGN
0.462,0.3248,0.0,-0.3044,-0.0,ALIGN
0.495,0.3151,0.0,-0.2955,-0.0,ALIGN
0.528,0.3056,0.0,-0.2867,-0.0,ALIGN
0.561,0.2964,0.0,-0.2783,-0.0,ALIGN
0.594,0.2875,0.0,-0.2701,-0.0,ALIGN
0.627,0.2789,0.0,-0.2621,-0.0,ALIGN
0.66,0.2705,0.0,-0.2544,-0.0,ALIGN
0.693,0.2623,0.0,-0.2468,-0.0,ALIGN
0.726,0.2544,0.0,-0.2396,-0.0,ALIGN
0.759,0.2468,0.0,-0.2325,-0.0,ALIGN
0.792,0.2393,0.0,-0.2256,-0.0,ALIGN
0.825,0.2321,0.0,-0.219,-0.0,ALIGN
0.858,0.2251,0.0,-0.2125,-0.0,ALIGN
0.891,0.2183,0.0,-0.2062,-0.0,ALIGN
0.924,0.2117,0.0,-0.2001,-0.0,ALIGN
0.957,0.2053,0.0,-0.1942,-0.0,ALIGN
0.99,0.199,0.0,-0.1885,-0.0,ALIGN
1.023,0.193,0.0,-0.1829,-0.0,ALIGN
1.056,0.1871,0.0,-0.1775,-0.0,ALIGN
1.089,0.1815,0.0,-0.1723,-0.0,ALIGN
1.122,0.1759,0.0,-0.1672,-0.0,ALIGN
1.155,0.1706,0.0,-0.1623,-0.0,ALIGN
1.188,0.1654,0.0,-0.1575,-0.0,ALIGN
1.221,0.1603,0.0,-0.1528,-0.0,ALIGN
1.254,0.1554,0.0,-0.1483,-0.0,ALIGN
1.287,0.1507,0.0,-0.144,-0.0,ALIGN
1.32,0.1461,0.0,-0.1397,-0.0,ALIGN
1.353,0.1416,0.0,-0.1356,-0.0,ALIGN
1.386,0.1373,0.0,-0.1316,-0.0,ALIGN
1.419,0.1331,0.0,-0.1277,-0.0,ALIGN
1.452,0.129,0.0,-0.1239,-0.0,ALIGN
1.485,0.125,0.0,-0.1203,-0.0,ALIGN
1.518,0.1211,0.0,-0.1167,-0.0,ALIGN
1.551,0.1174,0.0,-0.1133,-0.0,ALIGN
1.584,0.1138,0.0,-0.1099,-0.0,ALIGN
1.617,0.1103,0.0,-0.1067,-0.0,ALIGN
1.65,0.1068,0.0,-0.1035,-0.0,ALIGN
1.683,0.1035,0.0,-0.1005,-0.0,ALIGN
1.716,0.1003,0.0,-0.0975,-0.0,ALIGN
1.749,0.0972,0.0,-0.0946,-0.0,ALIGN
1.782,0.0942,0.0,-0.0918,-0.0,ALIGN
1.815,0.0912,0.0,-0.0891,-0.0,ALIGN
1.848,0.0884,0.0,-0.0865,-0.0,ALIGN
1.881,0.0856,0.0,-0.0839,-0.0,ALIGN
1.914,0.0829,0.0,-0.0815,-0.0,ALIGN
1.947,0.0803,0.0,-0.0791,-0.0,HOLD_ALIGNMENT
1.98,0.0778,0.0,-0.0767,-0.0,DESCEND
2.013,0.0753,0.0,-0.0745,-0.0,DESCEND
2.046,0.0729,0.0,-0.0723,-0.0,DESCEND
2.079,0.0706,0.0,-0.0701,-0.0,DESCEND
2.112,0.0684,0.0,-0.0681,-0.0,DESCEND
2.145,0.0662,0.0,-0.066,-0.0,DESCEND
2.178,0.0641,0.0,-0.0641,-0.0,DESCEND
2.211,0.062,0.0,-0.0622,-0.0,DESCEND
2.244,0.06,0.0,-0.0604,-0.0,DESCEND
2.277,0.0581,0.0,-0.0586,-0.0,DESCEND
2.31,0.0562,0.0,-0.0569,-0.0,DESCEND
2.343,0.0544,0.0,-0.0552,-0.0,DESCEND
2.376,0.0526,0.0,-0.0535,-0.0,DESCEND
2.409,0.0509,0.0,-0.052,-0.0,DESCEND
2.442,0.0492,0.0,-0.0504,-0.0,DESCEND
2.475,0.0517,0.0,0.0749,-0.0,DESCEND
2.508,0.0486,0.0,-0.0951,-0.0,DESCEND
2.541,0.0504,0.0,0.0542,-0.0,DESCEND
2.574,0.047,0.0,-0.102,-0.0,DESCEND
2.607,0.0486,0.0,0.048,-0.0,DESCEND
2.64,0.0493,0.0,0.0216,-0.0,DESCEND
2.673,0.0496,0.0,0.0083,-0.0,DESCEND
2.706,0.0496,0.0,0.0017,-0.0,DESCEND
2.739,0.0496,0.0,-0.0016,-0.0,DESCEND
2.772,0.0495,0.0,-0.0033,-0.0,DESCEND
2.805,0.0493,0.0,-0.0041,-0.0,DESCEND
2.838,0.0492,0.0,-0.0045,-0.0,DESCEND
2.871,0.049,0.0,-0.0047,-0.0,DESCEND
2.904,0.0489,0.0,-0.0048,-0.0,DESCEND
2.937,0.0487,0.0,-0.0049,-0.0,DESCEND
2.97,0.0486,0.0,-0.0049,-0.0,DESCEND
3.003,0.0484,0.0,-0.0049,-0.0,DESCEND
3.036,0.0482,0.0,-0.0049,-0.0,DESCEND
3.069,0.0481,0.0,-0.0049,-0.0,DESCEND
3.102,0.0479,0.0,-0.0049,-0.0,DESCEND
3.135,0.0477,0.0,-0.0049,-0.0,DESCEND
3.168,0.0476,0.0,-0.0049,-0.0,DESCEND
3.201,0.0474,0.0,-0.0049,-0.0,DESCEND
3.234,0.0473,0.0,-0.0049,-0.0,DESCEND
3.267,0.0471,0.0,-0.0049,-0.0,DESCEND
3.3,0.0469,0.0,-0.0049,-0.0,DESCEND
3.333,0.0468,0.0,-0.0049,-0.0,DESCEND
3.366,0.0466,0.0,-0.0049,-0.0,DESCEND
3.399,0.0465,0.0,-0.0049,-0.0,DESCEND
