time,x,y,vx,vy,state
0.0,1.0,0.0,0.0,0.0,ACQUIRE
0.033,0.967,0.0,-1.0,-0.0,ALIGN
0.066,0.9367,0.0,-0.9173,-0.0,ALIGN
0.099,0.9081,0.0,-0.8665,-0.0,ALIGN
0.132,0.8807,0.0,-0.8303,-0.0,ALIGN
0.165,0.8543,0.0,-0.8011,-0.0,ALIGN
0.198,0.8287,0.0,-0.7753,-0.0,ALIGN
0.231,0.8039,0.0,-0.7515,-0.0,ALIGN
0.264,0.7799,0.0,-0.7289,-0.0,ALIGN
0.297,0.7565,0.0,-0.7072,-0.0,ALIGN
0.33,0.7339,0.0,-0.6862,-0.0,ALIGN
0.363,0.7119,0.0,-0.6659,-0.0,ALIGN
0.396,0.6906,0.0,-0.6463,-0.0,ALIGN
0.429,0.6699,0.0,-0.6272,-0.0,ALIGN
0.462,0.6498,0.0,-0.6087,-0.0,ALIGN
0.495,0.6303,0.0,-0.5907,-0.0,ALIGN
0.528,0.6114,0.0,-0.5733,-0.0,ALIGN
0.561,0.593,0.0,-0.5564,-0.0,ALIGN
0.594,0.5752,0.0,-0.5399,-0.0,ALIGN
0.627,0.5579,0.0,-0.524,-0.0,ALIGN
0.66,0.5411,0.0,-0.5085,-0.0,ALIGN
0.693,0.5248,0.0,-0.4935,-0.0,ALIGN
0.726,0.509,0.0,-0.479,-0.0,ALIGN
0.759,0.4937,0.0,-0.4648,-0.0,ALIGN
0.792,0.4788,0.0,-0.4511,-0.0,ALIGN
0.825,0.4644,0.0,-0.4378,-0.0,ALIGN
0.858,0.4503,0.0,-0.4249,-0.0,ALIGN
0.891,0.4367,0.0,-0.4123,-0.0,ALIGN
0.924,0.4235,0.0,-0.4002,-0.0,ALIGN
0.957,0.4107,0.0,-0.3884,-0.0,ALIGN
0.99,0.3983,0.0,-0.3769,-0.0,ALIGN
1.023,0.3862,0.0,-0.3658,-0.0,ALIGN
1.056,0.3745,0.0,-0.355,-0.0,ALIGN
1.089,0.3631,0.0,-0.3445,-0.0,ALIGN
1.122,0.3521,0.0,-0.3343,-0.0,ALIGN
1.155,0.3414,0.0,-0.3245,-0.0,ALIGN
1.188,0.331,0.0,-0.3149,-0.0,ALIGN
1.221,0.3209,0.0,-0.3056,-0.0,ALIGN
1.254,0.3111,0.0,-0.2966,-0.0,ALIGN
1.287,0.3016,0.0,-0.2878,-0.0,ALIGN
1.32,0.2924,0.0,-0.2793,-0.0,ALIGN
1.353,0.2835,0.0,-0.2711,-0.0,ALIGN
1.386,0.2748,0.0,-0.2631,-0.0,ALIGN
1.419,0.2664,0.0,-0.2553,-0.0,ALIGN
1.452,0.2582,0.0,-0.2478,-0.0,ALIGN
1.485,0.2502,0.0,-0.2405,-0.0,ALIGN
1.518,0.2425,0.0,-0.2334,-0.0,ALIGN
1.551,0.2351,0.0,-0.2265,-0.0,ALIGN
1.584,0.2278,0.0,-0.2198,-0.0,ALIGN
1.617,0.2208,0.0,-0.2133,-0.0,ALIGN
1.65,0.2139,0.0,-0.207,-0.0,ALIGN
1.683,0.2073,0.0,-0.2009,-0.0,ALIGN
1.716,0.2009,0.0,-0.195,-0.0,ALIGN
1.749,0.1946,0.0,-0.1892,-0.0,ALIGN
1.782,0.1886,0.0,-0.1836,-0.0,ALIGN
1.815,0.1827,0.0,-0.1782,-0.0,ALIGN
1.848,0.177,0.0,-0.1729,-0.0,ALIGN
1.881,0.1715,0.0,-0.1678,-0.0,ALIGN
1.914,0.1661,0.0,-0.1629,-0.0,ALIGN
1.947,0.1609,0.0,-0.1581,-0.0,ALIGN
1.98,0.1558,0.0,-0.1534,-0.0,ALIGN
2.013,0.1509,0.0,-0.1489,-0.0,ALIGN
2.046,0.1461,0.0,-0.1445,-0.0,ALIGN
2.079,0.1415,0.0,-0.1402,-0.0,ALIGN
2.112,0.137,0.0,-0.1361,-0.0,ALIGN
2.145,0.1326,0.0,-0.132,-0.0,ALIGN
2.178,0.1284,0.0,-0.1281,-0.0,ALIGN
2.211,0.1243,0.0,-0.1244,-0.0,ALIGN
2.244,0.1203,0.0,-0.1207,-0.0,ALIGN
2.277,0.1165,0.0,-0.1171,-0.0,ALIGN
2.31,0.1127,0.0,-0.1137,-0.0,ALIGN
2.343,0.1091,0.0,-0.1103,-0.0,ALIGN
2.376,0.1055,0.0,-0.1071,-0.0,ALIGN
2.409,0.1021,0.0,-0.1039,-0.0,ALIGN
2.442,0.0988,0.0,-0.1008,-0.0,ALIGN
2.475,0.0956,0.0,-0.0978,-0.0,ALIGN
2.508,0.0924,0.0,-0.095,-0.0,ALIGN
2.541,0.0894,0.0,-0.0921,-0.0,ALIGN
2.574,0.0864,0.0,-0.0894,-0.0,ALIGN
2.607,0.0836,0.0,-0.0868,-0.0,ALIGN
2.64,0.0808,0.0,-0.0842,-0.0,HOLD_ALIGNMENT
2.673,0.0781,0.0,-0.0817,-0.0,DESCEND
2.706,0.0755,0.0,-0.0793,-0.0,DESCEND
2.739,0.0729,0.0,-0.077,-0.0,DESCEND
2.772,0.0705,0.0,-0.0747,-0.0,DESCEND
2.805,0.0681,0.0,-0.0725,-0.0,DESCEND
2.838,0.0658,0.0,-0.0704,-0.0,DESCEND
2.871,0.0635,0.0,-0.0683,-0.0,DESCEND
2.904,0.0613,0.0,-0.0663,-0.0,DESCEND
2.937,0.0592,0.0,-0.0643,-0.0,DESCEND
2.97,0.0571,0.0,-0.0624,-0.0,DESCEND
3.003,0.0551,0.0,-0.0606,-0.0,DESCEND
3.036,0.0532,0.0,-0.0588,-0.0,DESCEND
3.069,0.0513,0.0,-0.057,-0.0,DESCEND
3.102,0.0495,0.0,-0.0553,-0.0,DESCEND
3.135,0.0518,0.0,0.0708,-0.0,DESCEND
3.168,0.0485,0.0,-0.0999,-0.0,DESCEND
3.201,0.0502,0.0,0.0495,-0.0,DESCEND
3.234,0.0467,0.0,-0.1064,-0.0,DESCEND
3.267,0.0481,0.0,0.0429,-0.0,DESCEND
3.3,0.0486,0.0,0.0165,-0.0,DESCEND
3.333,0.0487,0.0,0.0033,-0.0,DESCEND
3.366,0.0486,0.0,-0.0033,-0.0,DESCEND
3.399,0.0484,0.0,-0.0066,-0.0,DESCEND
3.432,0.0481,0.0,-0.0083,-0.0,DESCEND
3.465,0.0478,0.0,-0.0091,-0.0,DESCEND
3.498,0.0475,0.0,-0.0095,-0.0,DESCEND
3.531,0.0472,0.0,-0.0097,-0.0,DESCEND
3.564,0.0469,0.0,-0.0098,-0.0,DESCEND
3.597,0.0465,0.0,-0.0099,-0.0,DESCEND
3.63,0.0462,0.0,-0.0099,-0.0,DESCEND
3.663,0.0459,0.0,-0.0099,-0.0,DESCEND
3.696,0.0456,0.0,-0.0099,-0.0,DESCEND
3.729,0.0452,0.0,-0.0099,-0.0,DESCEND
3.762,0.0449,0.0,-0.0099,-0.0,DESCEND
3.795,0.0446,0.0,-0.0099,-0.0,DESCEND
3.828,0.0442,0.0,-0.0099,-0.0,DESCEND
3.861,0.0439,0.0,-0.0099,-0.0,DESCEND
3.894,0.0436,0.0,-0.0099,-0.0,DESCEND
3.927,0.0433,0.0,-0.0099,-0.0,DESCEND
3.96,0.0429,0.0,-0.0099,-0.0,DESCEND
3.993,0.0426,0.0,-0.0099,-0.0,DESCEND
4.026,0.0423,0.0,-0.0099,-0.0,DESCEND
4.059,0.0419,0.0,-0.0099,-0.0,DESCEND
4.092,0.0416,0.0,-0.0099,-0.0,DESCEND
4.125,0.0413,0.0,-0.0099,-0.0,DESCEND
4.158,0.041,0.0,-0.0099,-0.0,DESCEND
4.191,0.0406,0.0,-0.0099,-0.0,DESCEND
4.224,0.0403,0.0,-0.0099,-0.0,DESCEND
4.257,0.04,0.0,-0.0099,-0.0,DESCEND
4.29,0.0396,0.0,-0.0099,-0.0,DESCEND
4.323,0.0393,0.0,-0.0099,-0.0,DESCEND
4.356,0.039,0.0,-0.0099,-0.0,DESCEND
4.389,0.0387,0.0,-0.0099,-0.0,DESCEND
4.422,0.0383,0.0,-0.0099,-0.0,DESCEND
4.455,0.038,0.0,-0.0099,-0.0,DESCEND
4.488,0.0377,0.0,-0.0099,-0.0,DESCEND
4.521,0.0374,0.0,-0.0099,-0.0,DESCEND
4.554,0.037,0.0,-0.0099,-0.0,DESCEND
4.587,0.0367,0.0,-0.0099,-0.0,DESCEND
4.62,0.0364,0.0,-0.0099,-0.0,DESCEND
4.653,0.036,0.0,-0.0099,-0.0,DESCEND
4.686,0.0357,0.0,-0.0099,-0.0,DESCEND
4.719,0.0354,0.0,-0.0099,-0.0,DESCEND
4.752,0.0351,0.0,-0.0099,-0.0,DESCEND
4.785,0.0347,0.0,-0.0099,-0.0,DESCEND
4.818,0.0344,0.0,-0.0099,-0.0,DESCEND
4.851,0.0341,0.0,-0.0099,-0.0,DESCEND
4.884,0.0337,0.0,-0.0099,-0.0,DESCEND
4.917,0.0334,0.0,-0.0099,-0.0,DESCEND
4.95,0.0331,0.0,-0.0099,-0.0,DESCEND
4.983,0.0328,0.0,-0.0099,-0.0,DESCEND
5.016,0.0324,0.0,-0.0099,-0.0,DESCEND
5.049,0.0321,0.0,-0.0099,-0.0,DESCEND
5.082,0.0318,0.0,-0.0099,-0.0,DESCEND
5.115,0.0315,0.0,-0.0099,-0.0,DESCEND
5.148,0.0311,0.0,-0.0099,-0.0,DESCEND
5.181,0.0308,0.0,-0.0099,-0.0,DESCEND
5.214,0.0305,0.0,-0.0099,-0.0,DESCEND
5.247,0.0301,0.0,-0.0099,-0.0,DESCEND
5.28,0.0298,0.0,-0.0099,-0.0,DESCEND
5.313,0.0295,0.0,-0.0099,-0.0,DESCEND
5.346,0.0292,0.0,-0.0099,-0.0,DESCEND
5.379,0.0288,0.0,-0.0099,-0.0,DESCEND
5.412,0.0285,0.0,-0.0099,-0.0,DESCEND
5.445,0.0282,0.0,-0.0099,-0.0,DESCEND
5.478,0.0278,0.0,-0.0099,-0.0,DESCEND
5.511,0.0275,0.0,-0.0099,-0.0,DESCEND
5.544,0.0272,0.0,-0.0099,-0.0,DESCEND
5.577,0.0269,0.0,-0.0099,-0.0,DESCEND
5.61,0.0265,0.0,-0.0099,-0.0,DESCEND
5.643,0.0262,0.0,-0.0099,-0.0,DESCEND
5.676,0.0259,0.0,-0.0099,-0.0,DESCEND
5.709,0.0255,0.0,-0.0099,-0.0,DESCEND
5.742,0.0252,0.0,-0.0099,-0.0,DESCEND
5.775,0.0249,0.0,-0.0099,-0.0,DESCEND
5.808,0.0246,0.0,-0.0099,-0.0,DESCEND
5.841,0.0242,0.0,-0.0099,-0.0,DESCEND
5.874,0.0239,0.0,-0.0099,-0.0,DESCEND
5.907,0.0236,0.0,-0.0099,-0.0,DESCEND
5.94,0.0233,0.0,-0.0099,-0.0,DESCEND
5.973,0.0229,0.0,-0.0099,-0.0,DESCEND
6.006,0.0226,0.0,-0.0099,-0.0,DESCEND
6.039,0.0223,0.0,-0.0099,-0.0,DESCEND
6.072,0.0219,0.0,-0.0099,-0.0,DESCEND
6.105,0.0216,0.0,-0.0099,-0.0,DESCEND
6.138,0.0213,0.0,-0.0099,-0.0,DESCEND
6.171,0.021,0.0,-0.0099,-0.0,DESCEND
6.204,0.0206,0.0,-0.0099,-0.0,DESCEND
6.237,0.0203,0.0,-0.0099,-0.0,DESCEND
6.27,0.02,0.0,-0.0099,-0.0,DESCEND
6.303,0.0196,0.0,-0.0099,-0.0,DESCEND
6.336,0.0193,0.0,-0.0099,-0.0,DESCEND
6.369,0.019,0.0,-0.0099,-0.0,DESCEND
6.402,0.0187,0.0,-0.0099,-0.0,DESCEND
6.435,0.0183,0.0,-0.0099,-0.0,DESCEND
6.468,0.018,0.0,-0.0099,-0.0,DESCEND
6.501,0.0177,0.0,-0.0099,-0.0,DESCEND
6.534,0.0174,0.0,-0.0099,-0.0,DESCEND
6.567,0.017,0.0,-0.0099,-0.0,DESCEND
6.6,0.0167,0.0,-0.0099,-0.0,DESCEND
6.633,0.0164,0.0,-0.0099,-0.0,DESCEND
6.666,0.016,0.0,-0.0099,-0.0,DESCEND
6.699,0.0157,0.0,-0.0099,-0.0,DESCEND
6.732,0.0154,0.0,-0.0099,-0.0,DESCEND
6.765,0.0151,0.0,-0.0099,-0.0,DESCEND
6.798,0.0147,0.0,-0.0099,-0.0,DESCEND
6.831,0.0144,0.0,-0.0099,-0.0,DESCEND
6.864,0.0141,0.0,-0.0099,-0.0,DESCEND
6.897,0.0137,0.0,-0.0099,-0.0,DESCEND
6.93,0.0134,0.0,-0.0099,-0.0,DESCEND
6.963,0.0131,0.0,-0.0099,-0.0,DESCEND
6.996,0.0128,0.0,-0.0099,-0.0,DESCEND
7.029,0.0124,0.0,-0.0099,-0.0,DESCEND
7.062,0.0121,0.0,-0.0099,-0.0,DESCEND
7.095,0.0118,0.0,-0.0099,-0.0,DESCEND
7.128,0.0114,0.0,-0.0099,-0.0,DESCEND
7.161,0.0111,0.0,-0.0099,-0.0,DESCEND
7.194,0.0108,0.0,-0.0099,-0.0,DESCEND
7.227,0.0105,0.0,-0.0099,-0.0,DESCEND
7.26,0.0101,0.0,-0.0099,-0.0,DESCEND
7.293,0.0098,0.0,-0.0099,-0.0,DESCEND
7.326,0.0095,0.0,-0.0099,-0.0,DESCEND
7.359,0.0092,0.0,-0.0099,-0.0,DESCEND
7.392,0.0088,0.0,-0.0099,-0.0,DESCEND
7.425,0.0085,0.0,-0.0099,-0.0,DESCEND
7.458,0.0082,0.0,-0.0099,-0.0,DESCEND
7.491,0.0078,0.0,-0.0099,-0.0,DESCEND
7.524,0.0075,0.0,-0.0099,-0.0,DESCEND
7.557,0.0072,0.0,-0.0099,-0.0,DESCEND
7.59,0.0069,0.0,-0.0099,-0.0,DESCEND
7.623,0.0065,0.0,-0.0099,-0.0,DESCEND
7.656,0.0062,0.0,-0.0099,-0.0,DESCEND
7.689,0.0059,0.0,-0.0099,-0.0,DESCEND
7.722,0.0055,0.0,-0.0099,-0.0,DESCEND
7.755,0.0052,0.0,-0.0099,-0.0,DESCEND
7.788,0.0049,0.0,-0.0099,-0.0,DESCEND
7.821,0.0046,0.0,-0.0099,-0.0,DESCEND
7.854,0.0042,0.0,-0.0099,-0.0,DESCEND
7.887,0.0039,0.0,-0.0099,-0.0,DESCEND
7.92,0.0036,0.0,-0.0099,-0.0,DESCEND
7.953,0.0032,0.0,-0.0099,-0.0,DESCEND
7.986,0.0029,0.0,-0.0099,-0.0,DESCEND
8.019,0.0026,0.0,-0.0099,-0.0,DESCEND
8.052,0.0023,0.0,-0.0099,-0.0,DESCEND
8.085,0.0019,0.0,-0.0099,-0.0,DESCEND
8.118,0.0016,0.0,-0.0099,-0.0,DESCEND
8.151,0.0013,0.0,-0.0099,-0.0,DESCEND
8.184,0.001,0.0,-0.0099,-0.0,DESCEND
8.217,0.0006,0.0,-0.0099,-0.0,DESCEND
