epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.645,2.17344,3.14668,0.00275,0.40198,0.19375,0.13031,0.07044,1.9591,2.18083,0.0034,0.000237706,0.000237706,0.000237706
2,377.966,2.0825,2.15786,0.00251,0.29491,0.25367,0.18848,0.10426,1.91406,1.90051,0.0032,0.000460008,0.000460008,0.000460008
3,558.946,2.06449,1.95367,0.00246,0.31452,0.285,0.22056,0.12226,1.89141,1.78517,0.00316,0.000666601,0.000666601,0.000666601
4,740.452,2.04448,1.83899,0.00242,0.34355,0.29212,0.24391,0.13587,1.89757,1.7106,0.00318,0.000643314,0.000643314,0.000643314
5,930.063,2.02811,1.76493,0.00237,0.37625,0.30124,0.25794,0.14817,1.86548,1.661,0.00306,0.000619752,0.000619752,0.000619752
6,1124.13,2.03642,1.71501,0.00235,0.39328,0.32096,0.26849,0.15234,1.87724,1.65447,0.00309,0.00059619,0.00059619,0.00059619
7,1311.89,2.01032,1.68197,0.00233,0.39347,0.3169,0.27444,0.15668,1.85554,1.60578,0.00308,0.000572628,0.000572628,0.000572628
8,1494.35,1.99912,1.65223,0.00232,0.42384,0.32784,0.28966,0.16464,1.84577,1.58333,0.00305,0.000549066,0.000549066,0.000549066
9,1675.08,1.98833,1.62008,0.0023,0.42225,0.33449,0.30123,0.17268,1.83574,1.56237,0.00301,0.000525504,0.000525504,0.000525504
10,1861.57,1.97894,1.5948,0.00228,0.41066,0.34456,0.30329,0.175,1.83309,1.5472,0.003,0.000501942,0.000501942,0.000501942
11,2060.66,1.97855,1.5739,0.00225,0.42861,0.34015,0.30796,0.17892,1.81818,1.54245,0.00298,0.00047838,0.00047838,0.00047838
12,2260.99,1.97119,1.56519,0.00225,0.4338,0.34791,0.31515,0.182,1.81499,1.5226,0.00298,0.000454818,0.000454818,0.000454818
13,2460.54,1.96566,1.55303,0.00224,0.43367,0.34714,0.31387,0.18217,1.81797,1.5164,0.00297,0.000431256,0.000431256,0.000431256
14,2661.62,1.9506,1.53226,0.00223,0.45181,0.35126,0.32403,0.18817,1.80823,1.4936,0.00295,0.000407694,0.000407694,0.000407694
15,2856.02,1.95974,1.52625,0.0022,0.44764,0.3552,0.32542,0.18966,1.80486,1.49422,0.00293,0.000384132,0.000384132,0.000384132
16,3062.65,1.94054,1.50852,0.0022,0.44717,0.36195,0.33172,0.19174,1.80335,1.48305,0.00296,0.00036057,0.00036057,0.00036057
17,3278.83,1.94691,1.51051,0.00219,0.44806,0.35638,0.32776,0.1911,1.80617,1.49513,0.00292,0.000337008,0.000337008,0.000337008
18,3490.27,1.93395,1.48873,0.00218,0.44484,0.36403,0.33496,0.19582,1.78891,1.48187,0.0029,0.000313446,0.000313446,0.000313446
19,3698.92,1.92827,1.48252,0.00218,0.4627,0.36452,0.34046,0.19881,1.79382,1.46071,0.00292,0.000289884,0.000289884,0.000289884
20,3917.52,1.92566,1.4742,0.00216,0.44765,0.37652,0.34227,0.19955,1.79474,1.47198,0.00292,0.000266322,0.000266322,0.000266322
21,4106.88,1.85544,1.43344,0.00225,0.46479,0.36679,0.34017,0.19917,1.7984,1.46109,0.00293,0.00024276,0.00024276,0.00024276
22,4282.25,1.85162,1.41932,0.00223,0.46047,0.36266,0.33682,0.19821,1.7942,1.47477,0.00291,0.000219198,0.000219198,0.000219198
23,4460.3,1.84006,1.40498,0.00223,0.45907,0.36898,0.34329,0.20112,1.79091,1.45955,0.0029,0.000195636,0.000195636,0.000195636
24,4640.63,1.84324,1.39885,0.00221,0.45832,0.37285,0.34568,0.20344,1.78853,1.45114,0.0029,0.000172074,0.000172074,0.000172074
25,4823.18,1.83134,1.38885,0.0022,0.46379,0.37049,0.34801,0.2044,1.78515,1.44023,0.00289,0.000148512,0.000148512,0.000148512
26,4997.9,1.8288,1.38141,0.00219,0.46743,0.36666,0.34781,0.20418,1.77969,1.44641,0.00287,0.00012495,0.00012495,0.00012495
27,5169.31,1.8238,1.37586,0.0022,0.47159,0.37259,0.35084,0.20658,1.78445,1.43896,0.00289,0.000101388,0.000101388,0.000101388
28,5346.45,1.81823,1.36747,0.00219,0.47256,0.37023,0.35131,0.20678,1.78195,1.43884,0.00289,7.7826e-05,7.7826e-05,7.7826e-05
29,5517.03,1.82173,1.3684,0.00217,0.47234,0.37437,0.35283,0.20811,1.77838,1.43464,0.00287,5.4264e-05,5.4264e-05,5.4264e-05
30,5678.05,1.81329,1.3643,0.00217,0.47432,0.37465,0.354,0.20843,1.7791,1.43314,0.00287,3.0702e-05,3.0702e-05,3.0702e-05
