epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.209,2.48036,3.39159,0.00379,0.33377,0.16202,0.07638,0.03628,2.32977,2.2534,0.00432,0.000237412,0.000237412,0.000237412
2,191.108,2.38927,2.17044,0.00331,0.31162,0.17711,0.11954,0.06014,2.27328,1.99997,0.00415,0.000459724,0.000459724,0.000459724
3,275.12,2.36176,1.99211,0.00321,0.25988,0.20857,0.14336,0.07433,2.25188,1.89119,0.00408,0.000666327,0.000666327,0.000666327
4,357.852,2.32569,1.89346,0.00315,0.29823,0.21999,0.17092,0.0904,2.20741,1.79768,0.00402,0.000643314,0.000643314,0.000643314
5,441.353,2.30297,1.83001,0.0031,0.27744,0.23142,0.17312,0.09248,2.25964,1.78456,0.00403,0.000619752,0.000619752,0.000619752
6,524.203,2.3021,1.78372,0.00305,0.29778,0.25109,0.18991,0.10173,2.1801,1.76336,0.0039,0.00059619,0.00059619,0.00059619
7,607.537,2.28298,1.74406,0.00302,0.31612,0.25649,0.20448,0.10941,2.16963,1.70297,0.00392,0.000572628,0.000572628,0.000572628
8,691.154,2.27559,1.71907,0.00299,0.33937,0.26349,0.2155,0.11668,2.15422,1.6767,0.00384,0.000549066,0.000549066,0.000549066
9,774.984,2.2512,1.69238,0.00295,0.34697,0.27082,0.2232,0.11955,2.14441,1.6537,0.00382,0.000525504,0.000525504,0.000525504
10,859.741,2.25261,1.67451,0.00291,0.3471,0.26918,0.22114,0.12059,2.13798,1.65128,0.00379,0.000501942,0.000501942,0.000501942
11,943.627,2.2303,1.65356,0.0029,0.35291,0.27573,0.22956,0.12313,2.12028,1.63716,0.00378,0.00047838,0.00047838,0.00047838
12,1027.73,2.22832,1.64919,0.00289,0.35737,0.27398,0.23379,0.12549,2.13565,1.62692,0.00375,0.000454818,0.000454818,0.000454818
13,1111.21,2.21197,1.62893,0.00288,0.35626,0.28316,0.23451,0.12685,2.1053,1.62513,0.00373,0.000431256,0.000431256,0.000431256
14,1195.54,2.21049,1.62216,0.00285,0.35681,0.28266,0.23885,0.12966,2.12562,1.62986,0.00372,0.000407694,0.000407694,0.000407694
15,1280.1,2.2197,1.60936,0.00282,0.37415,0.28795,0.24406,0.13241,2.10896,1.60957,0.00368,0.000384132,0.000384132,0.000384132
16,1364.66,2.20808,1.599,0.00283,0.37424,0.28653,0.24479,0.13351,2.11389,1.60545,0.00367,0.00036057,0.00036057,0.00036057
17,1449.57,2.20156,1.59075,0.0028,0.37587,0.28887,0.24447,0.13271,2.11123,1.60665,0.00369,0.000337008,0.000337008,0.000337008
18,1534.26,2.19535,1.57638,0.00279,0.37102,0.29771,0.25217,0.13884,2.07774,1.58661,0.00365,0.000313446,0.000313446,0.000313446
19,1618.05,2.17523,1.56782,0.00279,0.37276,0.28854,0.2496,0.13605,2.1029,1.59355,0.00367,0.000289884,0.000289884,0.000289884
20,1702.1,2.17565,1.56164,0.00277,0.37607,0.29314,0.25,0.13704,2.09601,1.58246,0.00366,0.000266322,0.000266322,0.000266322
21,1779.27,2.09513,1.53358,0.00285,0.37706,0.29089,0.24896,0.13638,2.09092,1.57381,0.00367,0.00024276,0.00024276,0.00024276
22,1851.73,2.0866,1.51007,0.00282,0.3735,0.29693,0.25359,0.13887,2.08231,1.57352,0.00364,0.000219198,0.000219198,0.000219198
23,1924.36,2.0776,1.49847,0.0028,0.37714,0.29731,0.25488,0.14007,2.07696,1.56479,0.00363,0.000195636,0.000195636,0.000195636
24,1997.09,2.08005,1.49284,0.00278,0.38359,0.29913,0.26018,0.14188,2.08108,1.56092,0.00363,0.000172074,0.000172074,0.000172074
25,2069.76,2.06645,1.48707,0.00278,0.38701,0.29813,0.25798,0.14047,2.07574,1.55978,0.00363,0.000148512,0.000148512,0.000148512
26,2142.92,2.06806,1.47879,0.00276,0.38704,0.29617,0.25816,0.14125,2.0709,1.55493,0.00362,0.00012495,0.00012495,0.00012495
27,2215.52,2.05311,1.4676,0.00276,0.3786,0.30041,0.25779,0.14132,2.0676,1.55416,0.0036,0.000101388,0.000101388,0.000101388
28,2288.48,2.0556,1.46632,0.00276,0.38272,0.30143,0.26204,0.14325,2.06981,1.55073,0.0036,7.7826e-05,7.7826e-05,7.7826e-05
29,2361.11,2.05697,1.46446,0.00274,0.3821,0.29726,0.25919,0.14193,2.07232,1.55312,0.0036,5.4264e-05,5.4264e-05,5.4264e-05
30,2434.29,2.0428,1.45705,0.00273,0.3888,0.30177,0.26173,0.14354,2.06311,1.54872,0.00359,3.0702e-05,3.0702e-05,3.0702e-05
